<http://givingsense.eu/sembib/onto/persons/Nicolas_G_> <http://xmlns.com/foaf/0.1/name> "Jean-Marie Nicolas"
<http://givingsense.eu/sembib/onto/persons/Durrieu_J_-L_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Durrieu_J_-L_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Durrieu_J_-L_-author>
<http://givingsense.eu/sembib/onto/persons/Durrieu_J_-L_> <http://xmlns.com/foaf/0.1/name> "Jean-Louis Durrieu"
<http://givingsense.eu/sembib/onto/persons/Flori_J_-P_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Flori_J_-P_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Flori_J_-P_-author>
<http://givingsense.eu/sembib/onto/persons/Flori_J_-P_> <http://xmlns.com/foaf/0.1/name> "Jean-Pierre Flori"
<http://givingsense.eu/sembib/onto/persons/Burkhardt_F_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Burkhardt_F_> <http://xmlns.com/foaf/0.1/name> "Jean-Marie Burkhardt"
<http://givingsense.eu/sembib/onto/persons/Pattavina_A_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Pattavina_A_> <http://xmlns.com/foaf/0.1/name> "Achille Pattavina"
<http://givingsense.eu/sembib/onto/persons/Cousin_Jean-christophe> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Cousin_Jean-christophe> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Cousin_Jean-christophe-author>
<http://givingsense.eu/sembib/onto/persons/Cousin_Jean-christophe> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Cousin_Jean-christophe-at-tpt>
<http://givingsense.eu/sembib/onto/persons/Cousin_Jean-christophe> <http://xmlns.com/foaf/0.1/name> "Jean-Christophe Cousin"
<http://givingsense.eu/sembib/onto/persons/Daveau_J_-M_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Daveau_J_-M_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Daveau_J_-M_-author>
<http://givingsense.eu/sembib/onto/persons/Daveau_J_-M_> <http://xmlns.com/foaf/0.1/name> "Jean-Marc Daveau"
<http://givingsense.eu/sembib/onto/persons/Rolland_J_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Rolland_J_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Rolland_J_-author>
<http://givingsense.eu/sembib/onto/persons/Rolland_J_> <http://xmlns.com/foaf/0.1/name> "Jean-Fran\u00E7ois Rolland"
<http://givingsense.eu/sembib/onto/persons/Roch_J_-F_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Roch_J_-F_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Roch_J_-F_-author>
<http://givingsense.eu/sembib/onto/persons/Roch_J_-F_> <http://xmlns.com/foaf/0.1/name> "Jean-Fran\u00E7ois Roch"
<http://givingsense.eu/sembib/onto/persons/Diguet_J_-Ph_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Diguet_J_-Ph_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Diguet_J_-Ph_-author>
<http://givingsense.eu/sembib/onto/persons/Diguet_J_-Ph_> <http://xmlns.com/foaf/0.1/name> "Jean-Philippe Diguet"
<http://givingsense.eu/sembib/onto/persons/Audibert_J_-Y_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Audibert_J_-Y_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Audibert_J_-Y_-author>
<http://givingsense.eu/sembib/onto/persons/Audibert_J_-Y_> <http://xmlns.com/foaf/0.1/name> "Jean-Yves Audibert"
<http://givingsense.eu/sembib/onto/persons/Cousin_R_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Cousin_R_> <http://xmlns.com/foaf/0.1/name> "Jean-Christophe Cousin"
<http://givingsense.eu/sembib/onto/persons/Lafond_J_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Lafond_J_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Lafond_J_-author>
<http://givingsense.eu/sembib/onto/persons/Lafond_J_> <http://xmlns.com/foaf/0.1/givenName> "Jean"
<http://givingsense.eu/sembib/onto/persons/Lafond_J_> <http://xmlns.com/foaf/0.1/name> "Jean Lafond"
<http://givingsense.eu/sembib/onto/persons/TENDERO_Yohann> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/TENDERO_Yohann> <http://xmlns.com/foaf/0.1/name> "Yohann TENDERO"
<http://givingsense.eu/sembib/onto/persons/Sarraute_J_-M_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Sarraute_J_-M_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Sarraute_J_-M_-author>
<http://givingsense.eu/sembib/onto/persons/Sarraute_J_-M_> <http://xmlns.com/foaf/0.1/name> "Jean-Maxime Sarraute"
<http://givingsense.eu/sembib/onto/persons/Duan_G_%2520H_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Duan_G_%2520H_> <http://xmlns.com/foaf/0.1/name> "G.-H Duan"
<http://givingsense.eu/sembib/onto/persons/Rudant_J_-P_> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person>
<http://givingsense.eu/sembib/onto/persons/Rudant_J_-P_> <http://purl.org/spar/pro/holdsRoleInTime> <http://givingsense.eu/sembib/onto/persons/Rudant_J_-P_-author>
<http://givingsense.eu/sembib/onto/persons/Rudant_J_-P_> <http://xmlns.com/foaf/0.1/name> "Jean-Paul Rudant"
